# Originator: me
# Number of profiles: 36
# Creation time: Fri Oct 11 09:49:55 2013
#            time   conductivity    temperature       pressure          pitch           roll          speed profile_number
#               s          mS/cm              C           dbar            rad            rad            m/s              -
1369009039.31372070    46.85820103    14.71940041    81.23000145    -0.52231582    -0.01036782     0.42021991              0
1369009041.29794312    46.82189941    14.68480015    81.80000305    -0.52297592    -0.00772744     0.43390004              0
1369009043.29190063    46.77420139    14.64669991    82.34999657    -0.52501234    -0.00563986     0.44544629              0
1369009045.30738020    46.75610065    14.62609959    82.89999962    -0.53077121    -0.00728525     0.43989638              0
1369009047.30108643    46.74149990    14.61520004    83.45000267    -0.53556451    -0.00834930     0.43614445              0
1369009049.30622053    46.73449993    14.60859966    83.99999619    -0.53391867    -0.00588052     0.44340580              0
1369009051.29648542    46.73270226    14.60639954    84.56999779    -0.53223150    -0.00325580     0.45064008              0
1369009053.29577637    46.73429966    14.61050034    85.12999535    -0.53056906     0.00090027     0.45426884              0
1369009055.29242659    46.72880173    14.60389996    85.69999695    -0.52891113     0.00504507     0.45788776              0
1369009057.29532576    46.72669888    14.60420036    86.26000404    -0.52883476     0.00602420     0.45049355              0
1369009059.29162598    46.71639919    14.59480000    86.84000015    -0.52883476     0.00682653     0.44279724              0
1369009061.29636335    46.71679974    14.59259987    87.41000175    -0.52615721     0.00832009     0.44793498              0
1369009063.37354231    46.72299862    14.59809971    87.98999786    -0.52275895     0.01001922     0.45634009              0
1369009065.29470825    46.72500134    14.60050011    88.57000351    -0.52463555     0.01007453     0.45351544              0
1369009067.29278564    46.76229954    14.61330032    89.13999557    -0.53038562     0.00925309     0.44304855              0
1369009069.29837751    46.83700085    14.67430019    89.75000381    -0.53279974     0.00777340     0.45210536              0
1369009071.29337263    46.85130119    14.68480015    90.34999847    -0.52950632     0.00530334     0.49295546              0
1369009073.29737043    46.86399937    14.69369984    90.95999718    -0.52577958     0.00327235     0.51113762              0
1369009075.30258179    46.86590195    14.69499969    91.56000137    -0.52061433     0.00241147     0.46462030              0
1369009077.29560041    46.86930180    14.69569969    92.13999748    -0.51693807     0.00110414     0.43222032              0
1369009079.29589844    46.87160015    14.69690037    92.72999763    -0.51860881    -0.00223737     0.45095509              0
1369009081.33581543    46.86830044    14.69369984    93.31000328    -0.52064698    -0.00577486     0.46851641              0
1369009083.29740095    46.86329842    14.68959999    93.88999939    -0.52562101    -0.01074888     0.47543076              0
1369009085.32260132    46.85229778    14.68080044    94.46999550    -0.53058010    -0.01567103     0.48188261              0
1369009087.30010986    46.83720112    14.66779995    95.05000114    -0.53058010    -0.01440557     0.46674873              0
1369009089.30152082    46.81890011    14.65100002    95.62999725    -0.53058010    -0.01276056     0.44707564              0
1369009091.29129744    46.78470135    14.62479973    96.23000145    -0.52836250    -0.01332611     0.45282389              0
1369009093.30307007    46.76519871    14.60540009    96.82000160    -0.52514358    -0.01493557     0.47059814              0
1369009095.29346418    46.75789833    14.59869957    97.41000175    -0.52188315    -0.01399232     0.48348212              0
1369009097.29479980    46.74890041    14.59220028    97.98999786    -0.51849791    -0.01060708     0.49207318              0
1369009099.29895020    46.74439907    14.58829975    98.57000351    -0.51803066    -0.00802006     0.47911879              0
1369009101.29148054    46.73610210    14.58269978    99.14999962    -0.52131835    -0.00637621     0.43787884              0
1369009103.29583740    46.72619820    14.57400036    99.72999573    -0.52474295    -0.00494995     0.42942635              0
1369009105.29275513    46.71350002    14.56359959   100.31000137    -0.52805505    -0.00412192     0.48776484              0
1369009107.30194092    46.66719913    14.53129959   100.88999748    -0.52941817    -0.00271604     0.52529199              0
1369009109.36062622    46.63310051    14.49549961   101.49000168    -0.52433852     0.00067039     0.49491529              0
1369009111.29822493    46.61560059    14.48099995   102.08999634    -0.52054383     0.00320018     0.47222277              0
1369009113.34723616    46.59890175    14.46730042   102.67000198    -0.51858313     0.00349066     0.45854159              0
1369009115.29163313    46.58370018    14.45549965   103.24999809    -0.51679796     0.00349066     0.44557642              0
1369009117.35556746    46.54829979    14.42790031   103.81999969    -0.51910347     0.00183333     0.45211137              0
1369009119.29968262    46.53510094    14.41370010   104.39999580    -0.52118231     0.00044742     0.45867221              0
